,Strength,MSE,Method,A,A0,A1
139,2.0,7.418245080377721,ols,[-3.49816067  2.47642399],-3.4981606659087046,2.476423985925691
140,2.0,1.421617154577406,ols,[ 0.01152523 -2.01556615],0.01152523275868666,-2.0155661522743977
141,2.0,1.4216699214691861,ols,[-1.24275717 -0.02598341],-1.2427571699041822,-0.025983405754428993
142,2.0,1.0342251721886082,ols,[-0.73806426 -1.02227215],-0.7380642565903255,-1.0222721452938293
143,2.0,2.012594113050163,ols,[ 1.88571387 -0.11185372],1.8857138735821806,-0.1118537157354612
144,2.0,1.0345983161960817,ols,[-0.38838959 -0.51376665],-0.3883895932727618,-0.5137666456427923
145,2.125,1.0337527027692817,ols,[1.20399606 2.10163469],1.2039960560235883,2.101634694226953
146,2.125,1.574232370413722,ols,[-0.97986257 -3.98464535],-0.9798625711363155,-3.984645349354115
147,2.125,4.119474938527437,ols,[-2.13952656  2.17432025],-2.1395265632640292,2.174320247573903
148,2.125,1.0444836751555566,ols,[0.29357333 0.22253311],0.2935733328548424,0.22253311122943165
149,2.125,6.118753876742202,ols,[ 3.09982516 -2.21626618],3.0998251562927255,-2.216266175020583
150,2.125,2.568519450986511,ols,[-1.85119729  0.91441872],-1.8511972895466167,0.9144187240028959
151,2.125,1.2154640667176053,ols,[ 0.34555086 -0.82672503],0.34555085929776197,-0.8267250294950554
152,2.125,1.9868722314914513,ols,[2.848309   1.48624808],2.848308996592529,1.4862480810664416
153,2.125,2.4356464634902135,ols,[ 1.92631768 -0.70967754],1.926317683537545,-0.7096775421622423
154,2.125,3.674497702389154,ols,[ 1.77435385 -2.33332166],1.7743538473178737,-2.333321658183792
155,2.125,2.5746415627994743,ols,[-2.77418062 -0.54534159],-2.774180617134311,-0.545341590757685
156,2.125,1.0545406379340594,ols,[-0.81460073 -0.78586444],-0.814600726556819,-0.7858644358837203
157,2.125,1.0412352409116965,ols,[0.41064804 0.3841904 ],0.41064804135317284,0.3841904003729517
158,2.125,1.8143170731929672,ols,[-0.66553438  1.76577178],-0.6655343805168747,1.7657717754406486
159,2.125,1.1365659157627979,ols,[0.47233419 1.83185901],0.4723341911419658,1.8318590054069632
160,2.125,1.7819803423160148,ols,[-0.90397308 -4.24332816],-0.9039730795670318,-4.243328162487885
